20220504;20220504;CZK;ITE2211759;;4645;;1149300-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211759;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022080136;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211759;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022081420;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211759;799705;;;127700;JM;0,00;5451210100;;;;;;;;;;;;2022081500;;;127700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211759;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022083296;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211759;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022084056;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;;4645;;1149300-;JM;0,00;;;;;;;;C020;;;;BE06;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;799705;;;255400-;JM;0,00;5451210100;;;;;;;;;;;;2022077637;;;255400-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022081537;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;799705;;;127700;JM;0,00;5451210100;;;;;;;;;;;;2022084332;;;127700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022084945;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20220504;20220504;CZK;ITE2211764;799705;;;255400;JM;0,00;5451210100;;;;;;;;;;;;2022087266;;;255400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
